file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_26_2_4_0.json,2,1.1717,1.0316,0.1867,0.1996,1.0000,1.0295,1.0247,
fcma_prob_26_2_4_0.json,3,1.1717,1.0316,0.0140,0.0259,1.0000,0.9968,0.9930,
fcma_prob_27_2_4_0.json,1,0.0730,1.0000,0.2170,0.2230,1.0000,0.9799,0.9790,
fcma_prob_27_2_4_0.json,2,0.2013,2.7578,0.1777,0.1852,1.0001,0.9626,0.9659,
fcma_prob_27_2_4_0.json,3,0.2013,2.7578,0.0134,0.0200,1.0001,0.9469,0.9935,
fcma_prob_28_2_4_3_2_0.json,1,19.4104,1.0556,0.3195,0.3919,1.0000,0.9717,0.9768,
fcma_prob_28_2_4_3_2_0.json,2,19.4104,1.0556,0.1969,0.2776,1.0000,1.0514,1.0607,
fcma_prob_28_2_4_3_2_0.json,3,19.9944,1.0873,0.0152,0.0468,1.0000,1.1688,1.1709,
fcma_prob_29_2_4_3_2_0.json,1,1.0600,1.0000,0.2954,0.3007,1.0000,0.9996,1.0002,
fcma_prob_29_2_4_3_2_0.json,2,1.0600,1.0000,0.1641,0.1900,1.0000,1.0123,1.0080,
fcma_prob_29_2_4_3_2_0.json,3,1.0600,1.0000,0.0120,0.0219,1.0000,0.9967,1.0015,
fcma_prob_2_1_1_0.json,1,2.1120,1.0000,0.1667,0.1728,1.0000,0.9722,0.9730,
fcma_prob_2_1_1_0.json,2,2.1120,1.0000,0.0806,0.0856,1.0000,1.0282,1.0276,
fcma_prob_2_1_1_0.json,3,2.1120,1.0000,0.0050,0.0100,1.0000,0.8305,0.9061,
fcma_prob_30_2_4_3_8_0.json,1,21.4904,1.0404,0.3099,0.4252,1.0000,1.0930,1.0734,
fcma_prob_30_2_4_3_8_0.json,2,21.6040,1.0459,0.2336,0.3287,1.0000,1.0970,1.0595,
fcma_prob_30_2_4_3_8_0.json,3,21.6040,1.0459,0.0160,0.0672,1.0000,0.9905,1.0186,
fcma_prob_31_2_4_3_8_0.json,1,1.8896,1.1733,0.3075,0.3739,1.0000,1.0292,1.0199,
fcma_prob_31_2_4_3_8_0.json,2,1.8896,1.1733,0.1721,0.2129,1.0000,0.9754,0.9890,
fcma_prob_31_2_4_3_8_0.json,3,1.8896,1.1733,0.0173,0.0306,1.0000,0.9127,0.9603,
fcma_prob_32_5_1_0.json,1,12.0960,1.0000,0.1904,0.2195,1.0000,0.9424,0.9510,
fcma_prob_32_5_1_0.json,2,12.0960,1.0000,0.0938,0.1171,1.0000,1.0127,0.9951,
fcma_prob_32_5_1_0.json,3,12.0960,1.0000,0.0092,0.0347,1.0000,0.9074,0.9897,
fcma_prob_33_5_1_0.json,1,0.5760,1.0000,0.1909,0.2078,1.0000,0.9253,0.9349,
fcma_prob_33_5_1_0.json,2,0.5760,1.0000,0.0955,0.1112,1.0000,1.0419,1.0427,
fcma_prob_33_5_1_0.json,3,0.5760,1.0000,0.0091,0.0281,1.0000,0.9906,1.0766,
fcma_prob_34_5_1_0.json,1,10.8480,1.0000,0.1985,0.2277,1.0000,0.9909,0.9992,
fcma_prob_34_5_1_0.json,2,10.8480,1.0000,0.1146,0.1460,1.0000,0.9770,0.9953,
fcma_prob_34_5_1_0.json,3,10.8480,1.0000,0.0101,0.0403,1.0000,1.2123,1.0587,
fcma_prob_35_5_1_0.json,1,1.2480,1.0000,0.1927,0.2108,1.0000,0.9902,0.9913,
fcma_prob_35_5_1_0.json,2,1.2480,1.0000,0.0845,0.0995,1.0000,1.0248,1.0216,
fcma_prob_35_5_1_0.json,3,1.3440,1.0769,0.0085,0.0434,1.0000,0.7708,0.9407,
fcma_prob_36_5_1_3_2_0.json,1,643.9680,1.0307,0.1994,1.2504,1.0000,0.9968,1.0158,
fcma_prob_36_5_1_3_2_0.json,2,643.9680,1.0307,0.0953,1.2695,1.0000,0.9516,1.0715,
fcma_prob_36_5_1_3_2_0.json,3,643.9680,1.0307,0.0093,0.9526,1.0000,1.2873,1.0326,
fcma_prob_37_5_1_3_2_0.json,1,31.4880,1.0250,0.2033,0.2819,1.0000,0.9613,0.9596,
fcma_prob_37_5_1_3_2_0.json,2,31.4880,1.0250,0.1000,0.1824,1.0000,0.9693,1.0124,
fcma_prob_37_5_1_3_2_0.json,3,31.4880,1.0250,0.0071,0.0570,1.0000,0.9227,0.8822,
fcma_prob_38_5_1_3_8_0.json,1,141.0240,1.0930,0.2139,0.7320,1.0000,0.9200,0.9706,
fcma_prob_38_5_1_3_8_0.json,2,142.6440,1.1056,0.0907,0.7322,1.0000,0.9352,0.9262,
fcma_prob_38_5_1_3_8_0.json,3,146.1720,1.1329,0.0091,0.5379,1.0000,1.1265,0.8852,
fcma_prob_39_5_1_3_8_0.json,1,18.0920,1.0708,0.1972,0.2605,1.0000,0.9105,0.8984,
fcma_prob_39_5_1_3_8_0.json,2,18.4440,1.0916,0.1105,0.1920,1.0000,0.9574,0.9705,
fcma_prob_39_5_1_3_8_0.json,3,18.0920,1.0708,0.0090,0.0708,1.0000,1.0926,1.0109,
fcma_prob_3_1_1_0.json,1,0.0960,1.0000,0.1606,0.1636,1.0000,0.9640,0.9589,
