file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_0_1_1_0.json,1,1.4400,1.0000,0.2568,0.2682,1.0000,0.8946,0.8910,
fcma_prob_0_1_1_0.json,2,1.4400,1.0000,0.0925,0.1045,1.0000,1.1167,1.1306,
fcma_prob_0_1_1_0.json,3,1.4400,1.0000,0.0060,0.0159,1.0000,0.9978,0.9905,
fcma_prob_10_1_4_0.json,1,0.3840,1.0000,0.1907,0.1948,1.0000,1.0065,1.0004,
fcma_prob_10_1_4_0.json,2,0.3840,1.0000,0.0903,0.0943,1.0000,0.9372,0.9299,
fcma_prob_10_1_4_0.json,3,0.3840,1.0000,0.0060,0.0090,1.0000,0.7661,0.8148,
fcma_prob_11_1_4_0.json,1,0.0912,1.0000,0.3148,0.3188,1.0000,0.9742,0.9746,
fcma_prob_11_1_4_0.json,2,0.0960,1.0526,0.0865,0.0901,1.0000,0.9999,0.9960,
fcma_prob_11_1_4_0.json,3,0.0960,1.0526,0.0073,0.0112,1.0000,1.0361,1.0210,
fcma_prob_12_1_4_3_2_0.json,1,12.8480,1.0476,0.1862,0.2340,1.0353,1.0287,1.0417,
fcma_prob_12_1_4_3_2_0.json,2,12.8480,1.0476,0.0972,0.1381,1.0000,1.0874,1.0160,
fcma_prob_12_1_4_3_2_0.json,3,12.8480,1.0476,0.0071,0.0295,1.0000,1.1228,1.0435,
fcma_prob_13_1_4_3_2_0.json,1,0.2920,1.0000,0.1907,0.1937,1.0000,1.0430,1.0426,
fcma_prob_13_1_4_3_2_0.json,2,0.2920,1.0000,0.1013,0.1043,1.0000,1.1233,1.1190,
fcma_prob_13_1_4_3_2_0.json,3,0.2920,1.0000,0.0060,0.0090,1.0000,0.8557,0.9968,
fcma_prob_14_1_4_3_8_0.json,1,5.1360,1.1146,0.1896,0.2245,1.0000,1.0167,1.0102,
fcma_prob_14_1_4_3_8_0.json,2,5.1360,1.1146,0.0919,0.1159,1.0000,1.1379,1.1438,
fcma_prob_14_1_4_3_8_0.json,3,5.1360,1.1146,0.0060,0.0142,1.0000,1.0056,1.0858,
fcma_prob_15_1_4_3_8_0.json,1,1.2000,1.1746,0.2702,0.3300,1.0000,0.9615,0.9726,
fcma_prob_15_1_4_3_8_0.json,2,1.4200,1.3900,0.0859,0.1144,1.0000,1.0065,0.9932,
fcma_prob_15_1_4_3_8_0.json,3,1.4200,1.3900,0.0072,0.0221,1.0000,1.0222,1.0088,
fcma_prob_16_2_1_0.json,1,13.0560,1.0000,0.1829,0.2058,1.0000,0.9537,1.0026,
