file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_26_2_4_0.json,2,1.1717,1.0316,0.1813,0.1948,1.0,1.0,
fcma_prob_26_2_4_0.json,3,1.1717,1.0316,0.0140,0.0261,1.0,1.0,
fcma_prob_27_2_4_0.json,1,0.0730,1.0000,0.2215,0.2278,1.0,1.0,
fcma_prob_27_2_4_0.json,2,0.2013,2.7578,0.1846,0.1917,1.0,1.0,
fcma_prob_27_2_4_0.json,3,0.2013,2.7578,0.0141,0.0201,1.0,1.0,
fcma_prob_28_2_4_3_2_0.json,1,19.4104,1.0556,0.3288,0.4012,1.0,1.0,
fcma_prob_28_2_4_3_2_0.json,2,19.4104,1.0556,0.1873,0.2617,1.0,1.0,
fcma_prob_28_2_4_3_2_0.json,3,19.9944,1.0873,0.0130,0.0400,1.0,1.0,
fcma_prob_29_2_4_3_2_0.json,1,1.0600,1.0000,0.2955,0.3006,1.0,1.0,
fcma_prob_29_2_4_3_2_0.json,2,1.0600,1.0000,0.1621,0.1885,1.0,1.0,
fcma_prob_29_2_4_3_2_0.json,3,1.0600,1.0000,0.0120,0.0219,1.0,1.0,
fcma_prob_2_1_1_0.json,1,2.1120,1.0000,0.1715,0.1776,1.0,1.0,
fcma_prob_2_1_1_0.json,2,2.1120,1.0000,0.0784,0.0833,1.0,1.0,
fcma_prob_2_1_1_0.json,3,2.1120,1.0000,0.0060,0.0110,1.0,1.0,
fcma_prob_30_2_4_3_8_0.json,1,21.4904,1.0404,0.2835,0.3961,1.0,1.0,
fcma_prob_30_2_4_3_8_0.json,2,21.6040,1.0459,0.2129,0.3102,1.0,1.0,
fcma_prob_30_2_4_3_8_0.json,3,21.6040,1.0459,0.0162,0.0660,1.0,1.0,
fcma_prob_31_2_4_3_8_0.json,1,1.8896,1.1733,0.2988,0.3666,1.0,1.0,
fcma_prob_31_2_4_3_8_0.json,2,1.8896,1.1733,0.1764,0.2153,1.0,1.0,
fcma_prob_31_2_4_3_8_0.json,3,1.8896,1.1733,0.0190,0.0319,1.0,1.0,
fcma_prob_32_5_1_0.json,1,12.0960,1.0000,0.2020,0.2308,1.0,1.0,
fcma_prob_32_5_1_0.json,2,12.0960,1.0000,0.0926,0.1177,1.0,1.0,
fcma_prob_32_5_1_0.json,3,12.0960,1.0000,0.0101,0.0351,1.0,1.0,
fcma_prob_33_5_1_0.json,1,0.5760,1.0000,0.2063,0.2223,1.0,1.0,
fcma_prob_33_5_1_0.json,2,0.5760,1.0000,0.0917,0.1066,1.0,1.0,
fcma_prob_33_5_1_0.json,3,0.5760,1.0000,0.0092,0.0261,1.0,1.0,
fcma_prob_34_5_1_0.json,1,10.8480,1.0000,0.2003,0.2279,1.0,1.0,
fcma_prob_34_5_1_0.json,2,10.8480,1.0000,0.1173,0.1467,1.0,1.0,
fcma_prob_34_5_1_0.json,3,10.8480,1.0000,0.0083,0.0381,1.0,1.0,
fcma_prob_35_5_1_0.json,1,1.2480,1.0000,0.1946,0.2127,1.0,1.0,
fcma_prob_35_5_1_0.json,2,1.2480,1.0000,0.0825,0.0974,1.0,1.0,
fcma_prob_35_5_1_0.json,3,1.3440,1.0769,0.0110,0.0461,1.0,1.0,
fcma_prob_36_5_1_3_2_0.json,1,643.9680,1.0307,0.2000,1.2310,1.0,1.0,
fcma_prob_36_5_1_3_2_0.json,2,643.9680,1.0307,0.1001,1.1847,1.0,1.0,
fcma_prob_36_5_1_3_2_0.json,3,643.9680,1.0307,0.0072,0.9226,1.0,1.0,
fcma_prob_37_5_1_3_2_0.json,1,31.4880,1.0250,0.2115,0.2938,1.0,1.0,
fcma_prob_37_5_1_3_2_0.json,2,31.4880,1.0250,0.1032,0.1802,1.0,1.0,
fcma_prob_37_5_1_3_2_0.json,3,31.4880,1.0250,0.0077,0.0646,1.0,1.0,
fcma_prob_38_5_1_3_8_0.json,1,141.0240,1.0930,0.2325,0.7541,1.0,1.0,
fcma_prob_38_5_1_3_8_0.json,2,142.6440,1.1056,0.0970,0.7905,1.0,1.0,
fcma_prob_38_5_1_3_8_0.json,3,146.1720,1.1329,0.0081,0.6077,1.0,1.0,
fcma_prob_39_5_1_3_8_0.json,1,18.0920,1.0708,0.2166,0.2899,1.0,1.0,
fcma_prob_39_5_1_3_8_0.json,2,18.4440,1.0916,0.1154,0.1978,1.0,1.0,
fcma_prob_39_5_1_3_8_0.json,3,18.0920,1.0708,0.0082,0.0700,1.0,1.0,
fcma_prob_3_1_1_0.json,1,0.0960,1.0000,0.1666,0.1706,1.0,1.0,
fcma_prob_3_1_1_0.json,2,0.0960,1.0000,0.0850,0.0890,1.0,1.0,
fcma_prob_3_1_1_0.json,3,0.0960,1.0000,0.0060,0.0089,1.0,1.0,
fcma_prob_40_5_4_0.json,1,1.1556,1.0000,0.7833,0.8240,1.0,1.0,
fcma_prob_40_5_4_0.json,2,1.1794,1.0205,0.3847,0.4202,1.0,1.0,
fcma_prob_40_5_4_0.json,3,1.1794,1.0205,0.1129,0.1682,1.0,1.0,
fcma_prob_41_5_4_0.json,1,0.2372,1.0000,0.7101,0.7354,1.0,1.0,
fcma_prob_41_5_4_0.json,2,0.2743,1.1565,0.2739,0.2944,1.0,1.0,
fcma_prob_41_5_4_0.json,3,0.2743,1.1565,0.0292,0.0613,1.0,1.0,
fcma_prob_42_5_4_0.json,1,0.7664,1.0000,0.5040,0.5212,1.0,1.0,
fcma_prob_42_5_4_0.json,2,0.7664,1.0000,0.1769,0.1959,1.0,1.0,
fcma_prob_42_5_4_0.json,3,0.7664,1.0000,0.0169,0.0335,1.0,1.0,
fcma_prob_43_5_4_0.json,1,0.2743,1.0000,0.6398,0.6635,1.0,1.0,
fcma_prob_43_5_4_0.json,2,0.3844,1.4014,0.3476,0.3755,1.0,1.0,
fcma_prob_43_5_4_0.json,3,0.3844,1.4014,0.0400,0.1944,1.0,1.0,
fcma_prob_44_5_4_3_2_0.json,1,26.8632,1.0669,1.1824,1.3305,1.0,1.0,
fcma_prob_44_5_4_3_2_0.json,2,27.2066,1.0805,0.3831,0.5396,1.0,1.0,
fcma_prob_44_5_4_3_2_0.json,3,27.0146,1.0729,0.0299,0.1131,1.0,1.0,
fcma_prob_45_5_4_3_2_0.json,1,5.8388,1.0666,0.5138,0.5731,1.0,1.0,
fcma_prob_45_5_4_3_2_0.json,2,5.8388,1.0666,0.1776,0.2111,1.0,1.0,
fcma_prob_45_5_4_3_2_0.json,3,5.8388,1.0666,0.0179,0.0416,1.0,1.0,
fcma_prob_46_5_4_3_8_0.json,1,114.2490,1.0633,0.6088,1.0222,1.0,1.0,
fcma_prob_46_5_4_3_8_0.json,2,114.4757,1.0654,0.2641,0.5375,1.0,1.0,
fcma_prob_46_5_4_3_8_0.json,3,114.7773,1.0682,0.0279,0.2473,1.0,1.0,
fcma_prob_47_5_4_3_8_0.json,1,5.1480,1.2420,0.6596,0.7980,1.0,1.0,
fcma_prob_47_5_4_3_8_0.json,2,5.2648,1.2702,0.2751,0.3620,1.0,1.0,
fcma_prob_47_5_4_3_8_0.json,3,5.2648,1.2702,0.0221,0.0562,1.0,1.0,
fcma_prob_48_15_1_0.json,1,41.9520,1.0000,0.2599,0.3675,1.0,1.0,
