file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_0_1_1_0.json,1,1.4400,1.0000,0.2953,0.3104,1.0000,1.0289,1.0314,
fcma_prob_0_1_1_0.json,2,1.4400,1.0000,0.1003,0.1122,1.0000,1.2111,1.2148,
fcma_prob_0_1_1_0.json,3,1.4400,1.0000,0.0060,0.0197,1.0000,0.9918,1.2215,
fcma_prob_10_1_4_0.json,1,0.2736,1.0000,0.3759,0.3829,0.7125,1.9838,1.9668,
fcma_prob_10_1_4_0.json,2,0.2736,1.0000,0.0960,0.1020,0.7125,0.9969,1.0057,
fcma_prob_10_1_4_0.json,3,0.2736,1.0000,0.0117,0.0199,0.7125,1.4997,1.8069,
fcma_prob_11_1_4_0.json,1,0.0912,1.0000,0.2333,0.2398,1.0000,0.7221,0.7332,
fcma_prob_11_1_4_0.json,2,0.0912,1.0000,0.0938,0.0978,0.9500,1.0844,1.0805,
fcma_prob_11_1_4_0.json,3,0.0912,1.0000,0.0070,0.0100,0.9500,1.0025,0.9098,
fcma_prob_12_1_4_3_2_0.json,1,3.6480,1.1111,0.2296,0.2756,0.2940,1.2688,1.2271,
fcma_prob_12_1_4_3_2_0.json,2,3.6480,1.1111,0.1072,0.1281,0.2839,1.1987,0.9422,
fcma_prob_12_1_4_3_2_0.json,3,3.6480,1.1111,0.0077,0.0183,0.2839,1.2205,0.6449,
fcma_prob_13_1_4_3_2_0.json,1,0.5840,1.0000,0.2203,0.2245,2.0000,1.2053,1.2084,
fcma_prob_13_1_4_3_2_0.json,2,0.5840,1.0000,0.0998,0.1034,2.0000,1.1066,1.1093,
fcma_prob_13_1_4_3_2_0.json,3,0.5840,1.0000,0.0070,0.0092,2.0000,0.9979,1.0199,
fcma_prob_14_1_4_3_8_0.json,1,8.4048,1.3553,0.2243,0.3167,1.6364,1.2026,1.4251,
fcma_prob_14_1_4_3_8_0.json,2,8.4048,1.3553,0.1145,0.1704,1.6364,1.4169,1.6819,
fcma_prob_14_1_4_3_8_0.json,3,8.4048,1.3553,0.0086,0.0346,1.6364,1.4277,2.6440,
fcma_prob_15_1_4_3_8_0.json,1,1.0336,1.1733,0.5929,0.6252,0.8613,2.1100,1.8427,
fcma_prob_15_1_4_3_8_0.json,2,1.0336,1.1733,0.1199,0.1438,0.7279,1.4060,1.2484,
fcma_prob_15_1_4_3_8_0.json,3,1.0336,1.1733,0.0094,0.0160,0.7279,1.3480,0.7314,
fcma_prob_16_2_1_0.json,1,3.5520,1.0000,0.2216,0.2331,0.2721,1.1551,1.1352,
fcma_prob_16_2_1_0.json,2,3.5520,1.0000,0.0991,0.1076,0.2721,1.1540,1.0892,
fcma_prob_16_2_1_0.json,3,3.5520,1.0000,0.0060,0.0156,0.2721,0.8202,0.6447,
fcma_prob_17_2_1_0.json,1,0.0960,1.0000,0.2198,0.2267,0.3333,1.3687,1.3369,
fcma_prob_17_2_1_0.json,2,0.0960,1.0000,0.0982,0.1033,0.3333,1.1025,1.0835,
fcma_prob_17_2_1_0.json,3,0.0960,1.0000,0.0076,0.0144,0.3333,1.2017,1.1406,
fcma_prob_18_2_1_0.json,1,15.0720,1.0064,0.2097,0.2684,14.2727,1.1819,1.3951,
fcma_prob_18_2_1_0.json,2,14.9760,1.0000,0.1071,0.1212,14.1818,1.1793,1.1985,
fcma_prob_18_2_1_0.json,3,15.3600,1.0256,0.0067,0.0368,14.5455,1.1094,2.3159,
fcma_prob_19_2_1_0.json,1,0.2880,1.0000,0.2147,0.2249,0.4286,1.2446,1.2256,
fcma_prob_19_2_1_0.json,2,0.2880,1.0000,0.0989,0.1100,0.4286,1.1359,1.1442,
fcma_prob_19_2_1_0.json,3,0.2880,1.0000,0.0085,0.0184,0.4286,1.2074,1.0893,
fcma_prob_1_1_1_0.json,1,0.4800,1.0000,0.2288,0.2350,5.0000,1.3785,1.3823,
fcma_prob_1_1_1_0.json,2,0.4800,1.0000,0.1036,0.1101,5.0000,1.1709,1.1847,
fcma_prob_1_1_1_0.json,3,0.4800,1.0000,0.0066,0.0117,5.0000,1.1747,1.3096,
fcma_prob_20_2_1_3_2_0.json,1,29.3760,1.1168,0.2293,0.3554,0.4968,1.3491,1.3702,
fcma_prob_20_2_1_3_2_0.json,2,28.4160,1.0803,0.1018,0.1582,0.4821,0.9749,0.8083,
fcma_prob_20_2_1_3_2_0.json,3,28.4160,1.0803,0.0071,0.0558,0.4805,1.1768,0.7104,
fcma_prob_21_2_1_3_2_0.json,1,4.6080,1.0909,0.1999,0.2469,2.0000,1.1233,1.1496,
fcma_prob_21_2_1_3_2_0.json,2,4.8000,1.1364,0.1043,0.1442,2.2727,1.1208,1.2200,
fcma_prob_21_2_1_3_2_0.json,3,4.9920,1.1818,0.0080,0.0314,2.3636,1.2914,2.2102,
fcma_prob_22_2_1_3_8_0.json,1,300.0000,1.1397,0.2031,1.7859,1.7157,1.1479,1.9535,
fcma_prob_22_2_1_3_8_0.json,2,303.7020,1.1537,0.1124,1.7925,1.7392,1.0759,2.2895,
fcma_prob_22_2_1_3_8_0.json,3,311.6160,1.1838,0.0095,1.5794,1.7755,1.2637,2.4663,
fcma_prob_23_2_1_3_8_0.json,1,6.4200,1.2384,0.2137,0.3010,3.9532,1.1713,1.3719,
fcma_prob_23_2_1_3_8_0.json,2,6.4200,1.2384,0.1090,0.1537,3.9532,1.2827,1.2504,
fcma_prob_23_2_1_3_8_0.json,3,6.6720,1.2870,0.0070,0.0486,4.1084,1.2745,2.5066,
fcma_prob_24_2_4_0.json,1,0.7871,1.0000,0.5301,0.5487,1.0211,1.0012,1.0149,
fcma_prob_24_2_4_0.json,2,0.8242,1.0472,0.2146,0.2254,1.0693,2.2714,2.1530,
fcma_prob_24_2_4_0.json,3,0.8242,1.0472,0.0160,0.0273,1.0693,1.9757,1.5066,
fcma_prob_25_2_4_0.json,1,0.0960,1.0000,0.2764,0.2824,1.3151,1.3444,1.3271,
fcma_prob_25_2_4_0.json,2,0.2013,2.0971,0.1875,0.1942,2.7578,2.2485,2.1721,
fcma_prob_25_2_4_0.json,3,0.2013,2.0971,0.0171,0.0262,2.7578,2.4495,2.0144,
fcma_prob_26_2_4_0.json,1,0.3332,1.0000,0.4941,0.5110,0.2934,1.3393,1.3280,
fcma_prob_26_2_4_0.json,2,0.3380,1.0144,0.2103,0.2192,0.2885,1.1600,1.1254,
fcma_prob_26_2_4_0.json,3,0.3380,1.0144,0.0177,0.0258,0.2885,1.2668,0.9881,
fcma_prob_27_2_4_0.json,1,0.0960,1.0000,0.2604,0.2685,1.3151,1.1756,1.1788,
fcma_prob_27_2_4_0.json,2,0.1460,1.5208,0.0984,0.1056,0.7253,0.5330,0.5508,
fcma_prob_27_2_4_0.json,3,0.1460,1.5208,0.0090,0.0160,0.7253,0.6410,0.7964,
fcma_prob_28_2_4_3_2_0.json,1,13.9477,1.0000,0.5074,0.5209,0.7186,1.5433,1.2984,
